#---------------------------------------------------------------------------
# 
# NOTICE: this data set that was exported by the EMIT model coupling framework, use at your own risk 
# 
# Date Exported: 06/15/2016 
# Site Name: Climate Station at Logan River Golf Course 
# Site Code: LR_GC_C 
# Variable Name: Precipitation 
# Variable Code: Precip_Tot_Avg 
# Unit: cm 
# Category: Incremental 
# Type: Hydrology 
# Begin Date: 2014-01-14 10:00:00 
# End Date: 2016-06-14 23:00:00 
# Description: Precipitation measured using a Geonor T-200B rain gage. 
#---------------------------------------------------------------------------
# 
# 
# Date, Value 
06-14-2016 02:30:00, 34.95484 
06-14-2016 02:45:00, 34.95544 
06-14-2016 03:00:00, 34.95484 
06-14-2016 03:15:00, 34.95544 
06-14-2016 03:30:00, 34.95544 
06-14-2016 03:45:00, 34.95544 
06-14-2016 04:00:00, 34.95605 
06-14-2016 04:15:00, 34.95544 
06-14-2016 04:30:00, 34.95605 
06-14-2016 04:45:00, 34.95605 
06-14-2016 05:00:00, 34.95544 
06-14-2016 05:15:00, 34.95605 
06-14-2016 05:30:00, 34.95605 
06-14-2016 05:45:00, 34.95544 
06-14-2016 06:00:00, 34.95727 
06-14-2016 06:15:00, 34.95788 
06-14-2016 06:30:00, 34.95849 
06-14-2016 06:45:00, 34.95849 
06-14-2016 07:00:00, 34.95727 
06-14-2016 07:15:00, 34.95605 
06-14-2016 07:30:00, 34.95362 
06-14-2016 07:45:00, 34.9524 
06-14-2016 08:00:00, 34.94814 
06-14-2016 08:15:00, 34.94936 
06-14-2016 08:30:00, 34.94692 
06-14-2016 08:45:00, 34.94449 
06-14-2016 09:00:00, 34.94083 
06-14-2016 09:15:00, 34.9384 
06-14-2016 09:30:00, 34.93657 
06-14-2016 09:45:00, 34.9384 
06-14-2016 10:00:00, 34.93535 
06-14-2016 10:15:00, 34.93475 
06-14-2016 10:30:00, 34.93231 
06-14-2016 10:45:00, 34.93292 
06-14-2016 11:00:00, 34.93109 
06-14-2016 11:15:00, 34.9317 
06-14-2016 11:30:00, 34.93231 
06-14-2016 11:45:00, 34.93231 
06-14-2016 12:00:00, 34.93353 
06-14-2016 12:15:00, 34.93414 
06-14-2016 12:30:00, 34.93475 
06-14-2016 12:45:00, 34.93353 
06-14-2016 13:00:00, 34.9317 
06-14-2016 13:15:00, 34.9317 
06-14-2016 13:30:00, 34.9317 
